"","ID","ID.CapDate","lat","long","Capture.date","Grid","year","Sex","Age","BartAny","EhungINF","NoInf_0","NoUninf_0","Prev_0","NoInf_10","NoUninf_10","Prev_10","NoInf_14.1","NoUninf_14.1","Prev_14.1","NoInf_20","NoUninf_20","Prev_20","NoInf_22.4","NoUninf_22.4","Prev_22.4","NoInf_28.3","NoUninf_28.3","Prev_28.3","NoInf_30","NoUninf_30","Prev_30","NoInf_31.6","NoUninf_31.6","Prev_31.6","NoInf_36.1","NoUninf_36.1","Prev_36.1","NoInf_40","NoUninf_40","Prev_40","NoInf_50","NoUninf_50","Prev_50","NoInf_60","NoUninf_60","Prev_60","NoInf_70","NoUninf_70","Prev_70","NoInf_80","NoUninf_80","Prev_80","NoInf_90","NoUninf_90","Prev_90","NoInf_100","NoUninf_100","Prev_100","NoInf_110","NoUninf_110","Prev_110"
"4380","49811771","49811771-2012-06-06",10,10,2012-06-06,"HA1",2012,"F","Adult",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"4381","49811771","49811771-2012-06-19",10,20,2012-06-19,"HA1",2012,"F","Adult",0,0,0,0,NA,1,2,0.333333333333333,1,2,0.333333333333333,1,3,0.25,2,4,0.333333333333333,2,5,0.285714285714286,2,6,0.25,2,6,0.25,2,8,0.2,2,9,0.181818181818182,2,12,0.142857142857143,2,15,0.117647058823529,2,18,0.1,2,20,0.0909090909090909,3,22,0.12,6,26,0.1875,6,27,0.181818181818182
"4382","49811771","49811771-2012-07-03",20,20,2012-07-03,"HA1",2012,"F","Adult",1,0,0,0,NA,1,1,0.5,2,3,0.4,2,8,0.2,3,12,0.2,4,16,0.2,4,17,0.19047619047619,4,19,0.173913043478261,4,20,0.166666666666667,5,22,0.185185185185185,5,26,0.161290322580645,7,31,0.184210526315789,8,34,0.19047619047619,9,38,0.191489361702128,11,48,0.186440677966102,12,53,0.184615384615385,12,54,0.181818181818182
"4383","49811771","49811771-2012-07-17",40,20,2012-07-17,"HA1",2012,"F","Adult",1,0,0,2,0,0,3,0,0,3,0,1,5,0.166666666666667,2,10,0.166666666666667,2,12,0.142857142857143,2,15,0.117647058823529,3,22,0.12,4,25,0.137931034482759,4,28,0.125,7,50,0.12280701754386,8,59,0.119402985074627,11,66,0.142857142857143,11,73,0.130952380952381,14,83,0.144329896907216,14,85,0.141414141414141,14,85,0.141414141414141
"4384","49811771","49811771-2012-08-14",30,50,2012-08-14,"HA1",2012,"F","Adult",1,0,0,2,0,0,9,0,1,15,0.0625,1,19,0.05,2,25,0.0740740740740741,2,31,0.0606060606060606,2,35,0.0540540540540541,3,46,0.0612244897959184,5,53,0.0862068965517241,6,56,0.0967741935483871,10,86,0.104166666666667,13,112,0.104,15,122,0.109489051094891,17,140,0.10828025477707,18,144,0.111111111111111,18,144,0.111111111111111,18,144,0.111111111111111
"4385","49811771","49811771-2012-07-31",10,30,2012-07-31,"HA1",2012,"F","Adult",1,0,0,1,0,1,5,0.166666666666667,1,15,0.0625,2,21,0.0869565217391304,3,26,0.103448275862069,3,28,0.0967741935483871,3,30,0.0909090909090909,5,42,0.106382978723404,5,47,0.0961538461538462,5,48,0.0943396226415094,6,56,0.0967741935483871,8,62,0.114285714285714,11,69,0.1375,14,76,0.155555555555556,16,89,0.152380952380952,18,97,0.156521739130435,18,101,0.151260504201681
"4386","49811771","49811771-2012-08-28",40,0,2012-08-28,"HA1",2012,"F","Adult",1,0,0,0,NA,0,3,0,0,5,0,0,11,0,1,15,0.0625,2,18,0.1,3,23,0.115384615384615,4,31,0.114285714285714,4,35,0.102564102564103,5,43,0.104166666666667,7,72,0.0886075949367089,9,89,0.0918367346938776,16,115,0.122137404580153,18,129,0.122448979591837,21,138,0.132075471698113,25,157,0.137362637362637,29,179,0.139423076923077
"4387","49811771","49811771-2012-09-11",20,50,2012-09-11,"HA1",2012,"F","Adult",1,0,0,3,0,1,15,0.0625,5,22,0.185185185185185,5,30,0.142857142857143,6,53,0.101694915254237,7,57,0.109375,8,63,0.112676056338028,14,73,0.160919540229885,14,84,0.142857142857143,16,87,0.155339805825243,25,121,0.171232876712329,28,160,0.148936170212766,30,181,0.14218009478673,33,212,0.13469387755102,39,239,0.140287769784173,39,239,0.140287769784173,39,239,0.140287769784173
"4398","49829569","49829569-2012-06-06",30,40,2012-06-06,"HA1",2012,"F","Adult",1,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"4400","49847790","49847790-2012-06-06",10,90,2012-06-06,"HA1",2012,"F","Adult",1,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"4401","49847790","49847790-2012-06-20",10,100,2012-06-20,"HA1",2012,"F","Adult",1,0,0,0,NA,0,2,0,0,2,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,5,0,0,6,0,1,10,0.0909090909090909,2,16,0.111111111111111,3,23,0.115384615384615,5,26,0.161290322580645,6,31,0.162162162162162,7,36,0.162790697674419,8,38,0.173913043478261
