"","ID","ID.CapDate","lat","long","Capture.date","Grid","year","Sex","Age","BartAny","Tryps","NoInf_0","NoUninf_0","Prev_0","NoInf_10","NoUninf_10","Prev_10","NoInf_14.1","NoUninf_14.1","Prev_14.1","NoInf_20","NoUninf_20","Prev_20","NoInf_22.4","NoUninf_22.4","Prev_22.4","NoInf_28.3","NoUninf_28.3","Prev_28.3","NoInf_30","NoUninf_30","Prev_30","NoInf_31.6","NoUninf_31.6","Prev_31.6","NoInf_36.1","NoUninf_36.1","Prev_36.1","NoInf_40","NoUninf_40","Prev_40","NoInf_50","NoUninf_50","Prev_50","NoInf_60","NoUninf_60","Prev_60","NoInf_70","NoUninf_70","Prev_70","NoInf_80","NoUninf_80","Prev_80","NoInf_90","NoUninf_90","Prev_90","NoInf_100","NoUninf_100","Prev_100","NoInf_110","NoUninf_110","Prev_110"
"4380","49811771","49811771-2012-06-06",10,10,2012-06-06,"HA1",2012,"F","Adult",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"4381","49811771","49811771-2012-06-19",10,20,2012-06-19,"HA1",2012,"F","Adult",0,0,0,0,NA,0,3,0,0,3,0,0,4,0,0,5,0,0,6,0,0,6,0,0,6,0,0,8,0,0,8,0,0,9,0,0,10,0,0,12,0,0,13,0,0,15,0,0,16,0,0,17,0
"4382","49811771","49811771-2012-07-03",20,20,2012-07-03,"HA1",2012,"F","Adult",1,0,0,0,NA,0,1,0,0,4,0,0,7,0,0,10,0,0,12,0,0,12,0,0,13,0,0,13,0,0,15,0,0,15,0,0,19,0,0,22,0,0,24,0,0,29,0,0,33,0,0,34,0
"4383","49811771","49811771-2012-07-17",40,20,2012-07-17,"HA1",2012,"F","Adult",1,0,0,1,0,0,1,0,0,1,0,0,4,0,1,5,0.166666666666667,1,6,0.142857142857143,2,7,0.222222222222222,2,13,0.133333333333333,2,16,0.111111111111111,2,18,0.1,2,27,0.0689655172413793,2,31,0.0606060606060606,2,34,0.0555555555555556,2,37,0.0512820512820513,2,46,0.0416666666666667,2,48,0.04,2,48,0.04
"4384","49811771","49811771-2012-08-14",30,50,2012-08-14,"HA1",2012,"F","Adult",1,0,0,2,0,0,4,0,0,8,0,0,8,0,0,10,0,0,12,0,0,14,0,0,21,0,2,25,0.0740740740740741,2,26,0.0714285714285714,2,44,0.0434782608695652,2,56,0.0344827586206897,2,62,0.03125,3,71,0.0405405405405405,3,73,0.0394736842105263,3,73,0.0394736842105263,3,73,0.0394736842105263
"4385","49811771","49811771-2012-07-31",10,30,2012-07-31,"HA1",2012,"F","Adult",1,0,0,0,NA,1,2,0.333333333333333,1,7,0.125,1,12,0.0769230769230769,1,14,0.0666666666666667,1,16,0.0588235294117647,1,17,0.0555555555555556,1,23,0.0416666666666667,1,23,0.0416666666666667,1,24,0.04,2,26,0.0714285714285714,2,32,0.0588235294117647,2,38,0.05,2,44,0.0434782608695652,2,50,0.0384615384615385,3,55,0.0517241379310345,3,59,0.0483870967741935
"4386","49811771","49811771-2012-08-28",40,0,2012-08-28,"HA1",2012,"F","Adult",1,0,0,0,NA,0,0,NA,0,0,NA,0,4,0,0,6,0,0,8,0,0,13,0,0,19,0,2,21,0.0869565217391304,2,24,0.0769230769230769,3,36,0.0769230769230769,3,43,0.0652173913043478,3,54,0.0526315789473684,3,59,0.0483870967741935,3,64,0.0447761194029851,3,79,0.0365853658536585,5,94,0.0505050505050505
"4387","49811771","49811771-2012-09-11",20,50,2012-09-11,"HA1",2012,"F","Adult",1,0,0,0,NA,0,6,0,0,10,0,0,14,0,0,23,0,0,25,0,0,29,0,1,34,0.0285714285714286,1,39,0.025,1,41,0.0238095238095238,4,66,0.0571428571428571,4,87,0.043956043956044,6,95,0.0594059405940594,9,111,0.075,9,129,0.0652173913043478,9,129,0.0652173913043478,9,129,0.0652173913043478
"4398","49829569","49829569-2012-06-06",30,40,2012-06-06,"HA1",2012,"F","Adult",1,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"4400","49847790","49847790-2012-06-06",10,90,2012-06-06,"HA1",2012,"F","Adult",1,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA
