"","ID","ID.CapDate","lat","long","Capture.date","Grid","year","Sex","Age","EappInt","EhungINF","NoInf_0","NoUninf_0","Prev_0","NoInf_10","NoUninf_10","Prev_10","NoInf_14.1","NoUninf_14.1","Prev_14.1","NoInf_20","NoUninf_20","Prev_20","NoInf_22.4","NoUninf_22.4","Prev_22.4","NoInf_28.3","NoUninf_28.3","Prev_28.3","NoInf_30","NoUninf_30","Prev_30","NoInf_31.6","NoUninf_31.6","Prev_31.6","NoInf_36.1","NoUninf_36.1","Prev_36.1","NoInf_40","NoUninf_40","Prev_40","NoInf_50","NoUninf_50","Prev_50","NoInf_60","NoUninf_60","Prev_60","NoInf_70","NoUninf_70","Prev_70","NoInf_80","NoUninf_80","Prev_80","NoInf_90","NoUninf_90","Prev_90","NoInf_100","NoUninf_100","Prev_100","NoInf_110","NoUninf_110","Prev_110"
"4594","66815612","66815612-2012-08-15",100,90,2012-08-15,"HA1",2012,"F","Adult",5082.35294117647,0,0,2,0,1,6,0.142857142857143,1,7,0.125,2,10,0.166666666666667,3,19,0.136363636363636,3,21,0.125,3,23,0.115384615384615,3,26,0.103448275862069,3,28,0.0967741935483871,3,30,0.0909090909090909,7,38,0.155555555555556,9,47,0.160714285714286,9,55,0.140625,11,71,0.134146341463415,15,88,0.145631067961165,17,109,0.134920634920635,19,124,0.132867132867133
"4611","66818332","66818332-2012-09-11",10,80,2012-09-11,"HA1",2012,"F","Adult",69.3877551020408,1,3,2,0.6,5,15,0.25,7,20,0.259259259259259,9,25,0.264705882352941,12,38,0.24,12,44,0.214285714285714,12,47,0.203389830508475,12,54,0.181818181818182,12,62,0.162162162162162,15,65,0.1875,17,88,0.161904761904762,21,104,0.168,24,141,0.145454545454545,31,173,0.151960784313725,33,208,0.136929460580913,34,223,0.132295719844358,37,235,0.136029411764706
"4752","66843623","66843623-2012-08-15",100,80,2012-08-15,"HA1",2012,"M","NotAdult",4600,0,1,4,0.2,1,7,0.125,1,10,0.0909090909090909,1,12,0.0769230769230769,2,17,0.105263157894737,3,21,0.125,3,21,0.125,3,26,0.103448275862069,4,31,0.114285714285714,4,31,0.114285714285714,8,45,0.150943396226415,9,55,0.140625,11,63,0.148648648648649,13,76,0.146067415730337,17,94,0.153153153153153,18,115,0.135338345864662,20,132,0.131578947368421
"5120","66866543","66866543-2012-09-27",50,0,2012-09-27,"HA1",2012,"F","NotAdult",2276.92307692308,0,0,2,0,0,4,0,0,5,0,1,17,0.0555555555555556,2,28,0.0666666666666667,3,32,0.0857142857142857,3,39,0.0714285714285714,5,47,0.0961538461538462,6,58,0.09375,8,66,0.108108108108108,14,108,0.114754098360656,25,160,0.135135135135135,29,187,0.134259259259259,33,210,0.135802469135802,44,238,0.156028368794326,50,272,0.15527950310559,60,312,0.161290322580645
"5309","66878865","66878865-2012-08-29",100,80,2012-08-29,"HA1",2012,"M","Adult",4,0,1,5,0.166666666666667,1,11,0.0833333333333333,1,16,0.0588235294117647,1,18,0.0526315789473684,2,25,0.0740740740740741,4,31,0.114285714285714,4,31,0.114285714285714,4,36,0.1,5,43,0.104166666666667,5,44,0.102040816326531,10,59,0.144927536231884,12,71,0.144578313253012,16,80,0.166666666666667,18,98,0.155172413793103,23,121,0.159722222222222,27,149,0.153409090909091,30,169,0.150753768844221
"5322","66879360","66879360-2012-09-25",30,100,2012-09-25,"HA1",2012,"F","NotAdult",88,1,2,5,0.285714285714286,4,13,0.235294117647059,4,15,0.210526315789474,4,22,0.153846153846154,6,30,0.166666666666667,11,35,0.239130434782609,13,48,0.213114754098361,15,57,0.208333333333333,18,66,0.214285714285714,18,72,0.2,26,102,0.203125,29,134,0.177914110429448,36,164,0.18,40,199,0.167364016736402,42,228,0.155555555555556,47,258,0.154098360655738,51,283,0.152694610778443
"5793","67006795","67006795-2012-09-25",20,40,2012-09-25,"HA1",2012,"M","Adult",9672.72727272727,0,0,3,0,4,15,0.210526315789474,4,31,0.114285714285714,6,45,0.117647058823529,9,64,0.123287671232877,10,79,0.112359550561798,15,87,0.147058823529412,20,104,0.161290322580645,22,111,0.165413533834586,22,115,0.160583941605839,30,147,0.169491525423729,35,176,0.165876777251185,44,216,0.169230769230769,47,253,0.156666666666667,54,286,0.158823529411765,54,291,0.156521739130435,54,291,0.156521739130435
"5794","67006795","67006795-2012-10-09",20,40,2012-10-09,"HA1",2012,"M","Adult",4844.44444444444,0,0,4,0,5,19,0.208333333333333,5,37,0.119047619047619,7,52,0.11864406779661,11,79,0.122222222222222,12,99,0.108108108108108,17,107,0.137096774193548,23,126,0.154362416107383,25,139,0.152439024390244,25,145,0.147058823529412,35,193,0.153508771929825,42,234,0.152173913043478,54,284,0.159763313609467,62,332,0.157360406091371,73,377,0.162222222222222,75,382,0.164113785557987,75,382,0.164113785557987
"5813","67007587","67007587-2012-08-30",10,70,2012-08-30,"HA1",2012,"M","Adult",850,0,1,4,0.2,5,11,0.3125,6,18,0.25,7,27,0.205882352941176,7,36,0.162790697674419,7,41,0.145833333333333,8,44,0.153846153846154,10,51,0.163934426229508,10,60,0.142857142857143,10,66,0.131578947368421,15,81,0.15625,18,110,0.140625,21,138,0.132075471698113,27,166,0.139896373056995,27,184,0.127962085308057,31,206,0.130801687763713,34,212,0.138211382113821
"6065","67075638","67075638-2012-10-24",70,60,2012-10-24,"HA1",2012,"F","NotAdult",466.666666666667,0,0,5,0,5,19,0.208333333333333,6,31,0.162162162162162,6,43,0.122448979591837,11,65,0.144736842105263,17,75,0.184782608695652,20,93,0.176991150442478,25,116,0.177304964539007,33,148,0.18232044198895,34,161,0.174358974358974,48,264,0.153846153846154,65,325,0.166666666666667,80,394,0.168776371308017,89,462,0.161524500907441,90,495,0.153846153846154,91,503,0.153198653198653,91,503,0.153198653198653
