"","ID","ID.CapDate","lat","long","Capture.date","Grid","year","Sex","Age","EappInt","HpolINF","NoInf_0","NoUninf_0","Prev_0","NoInf_10","NoUninf_10","Prev_10","NoInf_14.1","NoUninf_14.1","Prev_14.1","NoInf_20","NoUninf_20","Prev_20","NoInf_22.4","NoUninf_22.4","Prev_22.4","NoInf_28.3","NoUninf_28.3","Prev_28.3","NoInf_30","NoUninf_30","Prev_30","NoInf_31.6","NoUninf_31.6","Prev_31.6","NoInf_36.1","NoUninf_36.1","Prev_36.1","NoInf_40","NoUninf_40","Prev_40","NoInf_50","NoUninf_50","Prev_50","NoInf_60","NoUninf_60","Prev_60","NoInf_70","NoUninf_70","Prev_70","NoInf_80","NoUninf_80","Prev_80","NoInf_90","NoUninf_90","Prev_90","NoInf_100","NoUninf_100","Prev_100","NoInf_110","NoUninf_110","Prev_110"
"4594","66815612","66815612-2012-08-15",100,90,2012-08-15,"HA1",2012,"F","Adult",5082.35294117647,"0",0,1,0,1,4,0.2,1,5,0.166666666666667,2,8,0.2,5,15,0.25,5,17,0.227272727272727,6,18,0.25,7,20,0.259259259259259,7,21,0.25,9,21,0.3,10,32,0.238095238095238,14,38,0.269230769230769,17,43,0.283333333333333,21,56,0.272727272727273,30,66,0.3125,37,80,0.316239316239316,42,91,0.315789473684211
"4611","66818332","66818332-2012-09-11",10,80,2012-09-11,"HA1",2012,"F","Adult",69.3877551020408,"0",1,3,0.25,6,12,0.333333333333333,7,18,0.28,10,22,0.3125,16,30,0.347826086956522,17,34,0.333333333333333,17,36,0.320754716981132,19,39,0.327586206896552,24,42,0.363636363636364,26,46,0.361111111111111,30,65,0.315789473684211,34,81,0.295652173913043,43,109,0.282894736842105,48,141,0.253968253968254,55,169,0.245535714285714,56,182,0.235294117647059,59,194,0.233201581027668
"4752","66843623","66843623-2012-08-15",100,80,2012-08-15,"HA1",2012,"M","NotAdult",4600,"0",1,3,0.25,1,5,0.166666666666667,1,8,0.111111111111111,2,9,0.181818181818182,3,14,0.176470588235294,5,17,0.227272727272727,5,17,0.227272727272727,6,20,0.230769230769231,7,25,0.21875,7,25,0.21875,12,37,0.244897959183673,17,43,0.283333333333333,18,52,0.257142857142857,25,58,0.301204819277108,31,73,0.298076923076923,38,86,0.306451612903226,44,97,0.312056737588652
"5120","66866543","66866543-2012-09-27",50,0,2012-09-27,"HA1",2012,"F","NotAdult",2276.92307692308,"0",0,2,0,1,3,0.25,1,4,0.2,3,15,0.166666666666667,6,23,0.206896551724138,6,27,0.181818181818182,8,32,0.2,9,41,0.18,10,52,0.161290322580645,12,60,0.166666666666667,22,95,0.188034188034188,34,139,0.196531791907514,38,161,0.190954773869347,48,175,0.2152466367713,54,205,0.208494208494208,63,233,0.212837837837838,70,273,0.204081632653061
"5309","66878865","66878865-2012-08-29",100,80,2012-08-29,"HA1",2012,"M","Adult",4,"0",1,4,0.2,1,9,0.1,1,14,0.0666666666666667,2,15,0.117647058823529,3,22,0.12,5,26,0.161290322580645,5,26,0.161290322580645,6,29,0.171428571428571,7,36,0.162790697674419,7,37,0.159090909090909,12,51,0.19047619047619,17,60,0.220779220779221,18,72,0.2,26,82,0.240740740740741,32,103,0.237037037037037,42,123,0.254545454545455,48,138,0.258064516129032
"5322","66879360","66879360-2012-09-25",30,100,2012-09-25,"HA1",2012,"F","NotAdult",88,"0",1,6,0.142857142857143,3,14,0.176470588235294,3,15,0.166666666666667,6,18,0.25,8,24,0.25,11,30,0.268292682926829,14,41,0.254545454545455,17,48,0.261538461538462,20,57,0.25974025974026,21,61,0.25609756097561,33,84,0.282051282051282,38,112,0.253333333333333,43,141,0.233695652173913,48,170,0.220183486238532,54,194,0.217741935483871,60,222,0.212765957446809,65,246,0.209003215434084
"5793","67006795","67006795-2012-09-25",20,40,2012-09-25,"HA1",2012,"M","Adult",9672.72727272727,"0",1,2,0.333333333333333,2,16,0.111111111111111,5,27,0.15625,6,41,0.127659574468085,12,55,0.17910447761194,16,65,0.197530864197531,18,76,0.191489361702128,26,90,0.224137931034483,28,97,0.224,28,100,0.21875,34,132,0.204819277108434,41,155,0.209183673469388,53,187,0.220833333333333,60,220,0.214285714285714,68,249,0.214511041009464,68,253,0.21183800623053,68,253,0.21183800623053
"5794","67006795","67006795-2012-10-09",20,40,2012-10-09,"HA1",2012,"M","Adult",4844.44444444444,"0",1,3,0.25,2,19,0.0952380952380952,5,32,0.135135135135135,6,47,0.113207547169811,15,66,0.185185185185185,19,81,0.19,21,92,0.185840707964602,29,109,0.210144927536232,33,119,0.217105263157895,34,122,0.217948717948718,43,168,0.203791469194313,51,203,0.200787401574803,63,246,0.203883495145631,72,292,0.197802197802198,83,331,0.20048309178744,83,337,0.197619047619048,83,337,0.197619047619048
"5813","67007587","67007587-2012-08-30",10,70,2012-08-30,"HA1",2012,"M","Adult",850,"0",3,2,0.6,7,8,0.466666666666667,9,14,0.391304347826087,13,19,0.40625,15,24,0.384615384615385,18,26,0.409090909090909,20,28,0.416666666666667,23,32,0.418181818181818,24,39,0.380952380952381,24,44,0.352941176470588,30,58,0.340909090909091,35,82,0.299145299145299,40,108,0.27027027027027,47,132,0.262569832402235,50,146,0.255102040816327,53,167,0.240909090909091,55,174,0.240174672489083
"6065","67075638","67075638-2012-10-24",70,60,2012-10-24,"HA1",2012,"F","NotAdult",466.666666666667,"0",1,4,0.2,3,17,0.15,4,28,0.125,7,37,0.159090909090909,13,56,0.188405797101449,15,70,0.176470588235294,18,87,0.171428571428571,23,109,0.174242424242424,29,140,0.171597633136095,30,152,0.164835164835165,52,240,0.178082191780822,63,296,0.175487465181058,78,359,0.178489702517162,91,417,0.179133858267717,94,444,0.174721189591078,95,452,0.173674588665448,95,452,0.173674588665448
