"","ID","ID.CapDate","lat","long","Capture.date","Grid","year","Sex","Age","EhungInt","BartAny","NoInf_0","NoUninf_0","Prev_0","NoInf_10","NoUninf_10","Prev_10","NoInf_14.1","NoUninf_14.1","Prev_14.1","NoInf_20","NoUninf_20","Prev_20","NoInf_22.4","NoUninf_22.4","Prev_22.4","NoInf_28.3","NoUninf_28.3","Prev_28.3","NoInf_30","NoUninf_30","Prev_30","NoInf_31.6","NoUninf_31.6","Prev_31.6","NoInf_36.1","NoUninf_36.1","Prev_36.1","NoInf_40","NoUninf_40","Prev_40","NoInf_50","NoUninf_50","Prev_50","NoInf_60","NoUninf_60","Prev_60","NoInf_70","NoUninf_70","Prev_70","NoInf_80","NoUninf_80","Prev_80","NoInf_90","NoUninf_90","Prev_90","NoInf_100","NoUninf_100","Prev_100","NoInf_110","NoUninf_110","Prev_110"
"4452","52842550","52842550-2012-06-19",50,80,2012-06-19,"HA1",2012,"F","Adult",142.857142857143,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,1,0,0,3,0,0,3,0,0,3,0,1,4,0.2,2,4,0.333333333333333,5,6,0.454545454545455,5,7,0.416666666666667,5,7,0.416666666666667,5,8,0.384615384615385,7,10,0.411764705882353,7,10,0.411764705882353,7,10,0.411764705882353
"4506","66808052","66808052-2012-11-20",40,20,2012-11-20,"HA1",2012,"M","Adult",231.578947368421,1,2,0,1,5,1,0.833333333333333,6,4,0.6,11,10,0.523809523809524,21,17,0.552631578947368,25,22,0.531914893617021,29,25,0.537037037037037,37,35,0.513888888888889,51,42,0.548387096774194,56,44,0.56,76,62,0.550724637681159,92,77,0.544378698224852,110,98,0.528846153846154,127,128,0.498039215686275,156,153,0.504854368932039,163,158,0.507788161993769,163,158,0.507788161993769
"4544","66810776","66810776-2012-07-17",70,0,2012-07-17,"HA1",2012,"M","Adult",606.25,0,1,0,1,1,0,1,1,0,1,1,0,1,3,0,1,3,0,1,3,1,0.75,4,2,0.666666666666667,5,2,0.714285714285714,5,2,0.714285714285714,7,3,0.7,10,3,0.769230769230769,14,12,0.538461538461538,18,14,0.5625,22,16,0.578947368421053,25,17,0.595238095238095,27,20,0.574468085106383
"4611","66818332","66818332-2012-09-11",10,80,2012-09-11,"HA1",2012,"F","Adult",673.469387755102,0,1,1,0.5,4,3,0.571428571428571,7,4,0.636363636363636,9,4,0.692307692307692,12,9,0.571428571428571,13,11,0.541666666666667,13,11,0.541666666666667,13,13,0.5,15,15,0.5,17,18,0.485714285714286,23,25,0.479166666666667,26,34,0.433333333333333,40,42,0.48780487804878,52,52,0.5,61,61,0.5,66,64,0.507692307692308,69,66,0.511111111111111
"4684","66828572","66828572-2012-10-23",50,0,2012-10-23,"HA1",2012,"M","Adult",13.7931034482759,1,2,1,0.666666666666667,3,2,0.6,3,3,0.5,7,7,0.5,10,11,0.476190476190476,13,11,0.541666666666667,13,13,0.5,14,17,0.451612903225806,18,21,0.461538461538462,23,23,0.5,45,37,0.548780487804878,65,51,0.560344827586207,77,60,0.562043795620438,83,69,0.546052631578947,97,89,0.521505376344086,112,102,0.523364485981308,134,124,0.51937984496124
"4753","66843623","66843623-2012-09-28",100,90,2012-09-28,"HA1",2012,"M","Adult",246.153846153846,1,1,1,0.5,5,4,0.555555555555556,6,7,0.461538461538462,9,8,0.529411764705882,16,12,0.571428571428571,16,12,0.571428571428571,18,12,0.6,20,14,0.588235294117647,20,17,0.540540540540541,21,19,0.525,31,27,0.53448275862069,37,35,0.513888888888889,46,41,0.528735632183908,55,52,0.514018691588785,70,60,0.538461538461538,88,72,0.55,99,81,0.55
"5006","66859820","66859820-2012-07-04",0,100,2012-07-04,"HA1",2012,"M","Adult",4.44444444444444,1,0,0,NA,1,0,1,2,0,1,2,0,1,3,0,1,3,0,1,3,1,0.75,4,1,0.8,5,1,0.833333333333333,5,1,0.833333333333333,7,1,0.875,7,4,0.636363636363636,8,7,0.533333333333333,10,13,0.434782608695652,15,14,0.517241379310345,21,16,0.567567567567568,24,17,0.585365853658537
"6252","67088839","67088839-2012-10-23",20,60,2012-10-23,"HA1",2012,"M","Adult",2230.76923076923,1,4,0,1,9,2,0.818181818181818,13,5,0.722222222222222,15,11,0.576923076923077,21,20,0.51219512195122,26,23,0.530612244897959,27,24,0.529411764705882,35,26,0.573770491803279,41,34,0.546666666666667,43,41,0.511904761904762,65,63,0.5078125,76,84,0.475,97,94,0.507853403141361,114,108,0.513513513513513,134,120,0.52755905511811,137,124,0.524904214559387,137,124,0.524904214559387
"6450","67126571","67126571-2012-06-19",60,60,2012-06-19,"HA1",2012,"F","NotAdult",7216.66666666667,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,2,0,0,2,0,0,3,0,1,4,0.2,2,4,0.333333333333333,3,7,0.3,6,7,0.461538461538462,6,7,0.461538461538462,7,10,0.411764705882353,7,10,0.411764705882353,7,10,0.411764705882353,7,10,0.411764705882353
"6718","79615341","79615341-2012-12-18",20,10,2012-12-18,"HA1",2012,"M","Adult",35.2941176470588,0,1,2,0.333333333333333,7,11,0.388888888888889,17,16,0.515151515151515,21,17,0.552631578947368,32,22,0.592592592592593,32,24,0.571428571428571,33,27,0.55,42,30,0.583333333333333,45,33,0.576923076923077,47,35,0.573170731707317,62,47,0.568807339449541,75,58,0.56390977443609,87,76,0.533742331288344,103,101,0.504901960784314,130,122,0.515873015873016,156,161,0.49211356466877,167,174,0.489736070381232
