"","ID","ID.CapDate","lat","long","Capture.date","Grid","year","Sex","Age","EhungInt","EappINF","NoInf_0","NoUninf_0","Prev_0","NoInf_10","NoUninf_10","Prev_10","NoInf_14.1","NoUninf_14.1","Prev_14.1","NoInf_20","NoUninf_20","Prev_20","NoInf_22.4","NoUninf_22.4","Prev_22.4","NoInf_28.3","NoUninf_28.3","Prev_28.3","NoInf_30","NoUninf_30","Prev_30","NoInf_31.6","NoUninf_31.6","Prev_31.6","NoInf_36.1","NoUninf_36.1","Prev_36.1","NoInf_40","NoUninf_40","Prev_40","NoInf_50","NoUninf_50","Prev_50","NoInf_60","NoUninf_60","Prev_60","NoInf_70","NoUninf_70","Prev_70","NoInf_80","NoUninf_80","Prev_80","NoInf_90","NoUninf_90","Prev_90","NoInf_100","NoUninf_100","Prev_100","NoInf_110","NoUninf_110","Prev_110"
"4393","49811771","49811771-2012-08-30",30,20,2012-08-30,"HA1",2012,"F","Adult",31.9148936170213,0,0,1,0,1,11,0.0833333333333333,2,15,0.117647058823529,2,21,0.0869565217391304,4,36,0.1,6,45,0.117647058823529,7,53,0.116666666666667,8,64,0.111111111111111,9,74,0.108433734939759,9,75,0.107142857142857,11,99,0.1,16,115,0.122137404580153,20,131,0.132450331125828,28,158,0.150537634408602,34,179,0.15962441314554,40,189,0.174672489082969,40,189,0.174672489082969
"4452","52842550","52842550-2012-06-19",50,80,2012-06-19,"HA1",2012,"F","Adult",142.857142857143,0,0,0,NA,0,0,NA,0,0,NA,0,1,0,0,3,0,0,6,0,0,7,0,0,8,0,0,10,0,0,11,0,0,19,0,1,20,0.0476190476190476,1,21,0.0454545454545455,1,24,0.04,3,27,0.1,3,28,0.0967741935483871,3,28,0.0967741935483871
"4506","66808052","66808052-2012-11-20",40,20,2012-11-20,"HA1",2012,"M","Adult",231.578947368421,0,1,5,0.166666666666667,2,16,0.111111111111111,5,25,0.166666666666667,6,44,0.12,13,83,0.135416666666667,18,91,0.165137614678899,21,107,0.1640625,24,138,0.148148148148148,28,164,0.145833333333333,32,181,0.150234741784038,46,276,0.142857142857143,58,338,0.146464646464646,80,400,0.166666666666667,97,464,0.172905525846702,121,534,0.184732824427481,124,547,0.184798807749627,124,547,0.184798807749627
"4544","66810776","66810776-2012-07-17",70,0,2012-07-17,"HA1",2012,"M","Adult",606.25,0,0,1,0,0,1,0,0,1,0,0,2,0,2,2,0.5,2,2,0.5,2,3,0.4,4,5,0.444444444444444,4,8,0.333333333333333,4,10,0.285714285714286,4,17,0.19047619047619,4,23,0.148148148148148,5,41,0.108695652173913,5,56,0.0819672131147541,5,67,0.0694444444444444,5,74,0.0632911392405063,6,81,0.0689655172413793
"4611","66818332","66818332-2012-09-11",10,80,2012-09-11,"HA1",2012,"F","Adult",673.469387755102,1,1,3,0.25,5,13,0.277777777777778,7,18,0.28,8,24,0.25,8,38,0.173913043478261,9,42,0.176470588235294,9,44,0.169811320754717,10,48,0.172413793103448,11,55,0.166666666666667,12,60,0.166666666666667,17,78,0.178947368421053,21,94,0.182608695652174,25,127,0.164473684210526,32,157,0.169312169312169,43,181,0.191964285714286,44,194,0.184873949579832,46,207,0.181818181818182
"4684","66828572","66828572-2012-10-23",50,0,2012-10-23,"HA1",2012,"M","Adult",13.7931034482759,0,2,1,0.666666666666667,2,3,0.4,4,4,0.5,4,20,0.166666666666667,7,34,0.170731707317073,8,40,0.166666666666667,8,48,0.142857142857143,9,60,0.130434782608696,11,73,0.130952380952381,13,82,0.136842105263158,26,139,0.157575757575758,39,203,0.161157024793388,48,238,0.167832167832168,55,276,0.166163141993958,71,313,0.184895833333333,84,357,0.19047619047619,105,402,0.207100591715976
"4753","66843623","66843623-2012-09-28",100,90,2012-09-28,"HA1",2012,"M","Adult",246.153846153846,0,2,1,0.666666666666667,6,5,0.545454545454545,7,9,0.4375,8,16,0.333333333333333,12,29,0.292682926829268,12,31,0.27906976744186,15,34,0.306122448979592,17,40,0.298245614035088,17,44,0.278688524590164,17,48,0.261538461538462,29,66,0.305263157894737,34,86,0.283333333333333,40,109,0.268456375838926,50,140,0.263157894736842,53,186,0.221757322175732,66,230,0.222972972972973,73,262,0.217910447761194
"5006","66859820","66859820-2012-07-04",0,100,2012-07-04,"HA1",2012,"M","Adult",4.44444444444444,0,0,0,NA,0,1,0,0,3,0,0,3,0,0,4,0,0,4,0,0,5,0,0,6,0,0,8,0,0,9,0,0,15,0,0,19,0,1,27,0.0357142857142857,1,35,0.0277777777777778,1,45,0.0217391304347826,2,57,0.0338983050847458,3,61,0.046875
"5119","66866525","66866525-2012-06-08",80,90,2012-06-08,"HA1",2012,"M","Adult",9200,0,0,0,NA,0,0,NA,0,1,0,0,1,0,0,2,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,4,0,1,5,0.166666666666667,1,12,0.0769230769230769,1,15,0.0625,1,16,0.0588235294117647,1,16,0.0588235294117647,1,19,0.05
"5322","66879360","66879360-2012-09-25",30,100,2012-09-25,"HA1",2012,"F","NotAdult",4,1,2,5,0.285714285714286,3,14,0.176470588235294,4,14,0.222222222222222,4,20,0.166666666666667,5,27,0.15625,7,34,0.170731707317073,12,43,0.218181818181818,15,50,0.230769230769231,19,58,0.246753246753247,20,62,0.24390243902439,25,92,0.213675213675214,31,119,0.206666666666667,40,144,0.217391304347826,49,169,0.224770642201835,52,196,0.209677419354839,54,228,0.191489361702128,58,253,0.186495176848875
