"","ID","ID.CapDate","lat","long","Capture.date","Grid","year","Sex","Age","EhungInt","HpolINF","NoInf_0","NoUninf_0","Prev_0","NoInf_10","NoUninf_10","Prev_10","NoInf_14.1","NoUninf_14.1","Prev_14.1","NoInf_20","NoUninf_20","Prev_20","NoInf_22.4","NoUninf_22.4","Prev_22.4","NoInf_28.3","NoUninf_28.3","Prev_28.3","NoInf_30","NoUninf_30","Prev_30","NoInf_31.6","NoUninf_31.6","Prev_31.6","NoInf_36.1","NoUninf_36.1","Prev_36.1","NoInf_40","NoUninf_40","Prev_40","NoInf_50","NoUninf_50","Prev_50","NoInf_60","NoUninf_60","Prev_60","NoInf_70","NoUninf_70","Prev_70","NoInf_80","NoUninf_80","Prev_80","NoInf_90","NoUninf_90","Prev_90","NoInf_100","NoUninf_100","Prev_100","NoInf_110","NoUninf_110","Prev_110"
"4393","49811771","49811771-2012-08-30",30,20,2012-08-30,"HA1",2012,"F","Adult",31.9148936170213,"0",0,1,0,1,11,0.0833333333333333,2,15,0.117647058823529,3,20,0.130434782608696,6,34,0.15,8,43,0.156862745098039,12,48,0.2,13,59,0.180555555555556,14,69,0.168674698795181,14,70,0.166666666666667,25,85,0.227272727272727,31,100,0.236641221374046,35,116,0.231788079470199,44,142,0.236559139784946,52,161,0.244131455399061,55,174,0.240174672489083,55,174,0.240174672489083
"4452","52842550","52842550-2012-06-19",50,80,2012-06-19,"HA1",2012,"F","Adult",142.857142857143,"1",0,0,NA,0,0,NA,0,0,NA,1,0,1,2,1,0.666666666666667,4,2,0.666666666666667,4,3,0.571428571428571,5,3,0.625,6,4,0.6,7,4,0.636363636363636,12,7,0.631578947368421,14,7,0.666666666666667,14,8,0.636363636363636,15,10,0.6,18,12,0.6,18,13,0.580645161290323,18,13,0.580645161290323
"4506","66808052","66808052-2012-11-20",40,20,2012-11-20,"HA1",2012,"M","Adult",231.578947368421,"0",1,5,0.166666666666667,5,13,0.277777777777778,7,23,0.233333333333333,9,41,0.18,14,82,0.145833333333333,17,92,0.155963302752294,19,109,0.1484375,28,134,0.172839506172839,31,161,0.161458333333333,34,179,0.15962441314554,53,269,0.164596273291925,73,323,0.184343434343434,81,399,0.16875,96,465,0.171122994652406,109,546,0.166412213740458,111,560,0.165424739195231,111,560,0.165424739195231
"4544","66810776","66810776-2012-07-17",70,0,2012-07-17,"HA1",2012,"M","Adult",606.25,"0",0,1,0,0,1,0,0,1,0,0,2,0,1,3,0.25,1,3,0.25,1,4,0.2,3,6,0.333333333333333,4,8,0.333333333333333,4,10,0.285714285714286,5,16,0.238095238095238,6,21,0.222222222222222,12,34,0.260869565217391,16,45,0.262295081967213,23,49,0.319444444444444,28,51,0.354430379746835,31,56,0.35632183908046
"4611","66818332","66818332-2012-09-11",10,80,2012-09-11,"HA1",2012,"F","Adult",673.469387755102,"0",1,3,0.25,6,12,0.333333333333333,7,18,0.28,10,22,0.3125,16,30,0.347826086956522,17,34,0.333333333333333,17,36,0.320754716981132,19,39,0.327586206896552,24,42,0.363636363636364,26,46,0.361111111111111,30,65,0.315789473684211,34,81,0.295652173913043,43,109,0.282894736842105,48,141,0.253968253968254,55,169,0.245535714285714,56,182,0.235294117647059,59,194,0.233201581027668
"4684","66828572","66828572-2012-10-23",50,0,2012-10-23,"HA1",2012,"M","Adult",13.7931034482759,"0",0,3,0,1,4,0.2,3,5,0.375,5,19,0.208333333333333,9,32,0.219512195121951,9,39,0.1875,11,45,0.196428571428571,13,56,0.188405797101449,14,70,0.166666666666667,16,79,0.168421052631579,29,136,0.175757575757576,44,198,0.181818181818182,49,237,0.171328671328671,62,269,0.187311178247734,69,315,0.1796875,81,360,0.183673469387755,88,419,0.173570019723866
"4753","66843623","66843623-2012-09-28",100,90,2012-09-28,"HA1",2012,"M","Adult",246.153846153846,"0",0,3,0,1,10,0.0909090909090909,1,15,0.0625,2,22,0.0833333333333333,7,34,0.170731707317073,7,36,0.162790697674419,8,41,0.163265306122449,9,48,0.157894736842105,10,51,0.163934426229508,12,53,0.184615384615385,14,81,0.147368421052632,23,97,0.191666666666667,31,118,0.208053691275168,39,151,0.205263157894737,53,186,0.221757322175732,63,233,0.212837837837838,69,266,0.205970149253731
"5006","66859820","66859820-2012-07-04",0,100,2012-07-04,"HA1",2012,"M","Adult",4.44444444444444,"1",0,0,NA,1,0,1,3,0,1,3,0,1,4,0,1,4,0,1,5,0,1,6,0,1,7,1,0.875,8,1,0.888888888888889,12,3,0.8,14,5,0.736842105263158,18,10,0.642857142857143,19,17,0.527777777777778,23,23,0.5,26,33,0.440677966101695,28,36,0.4375
"5119","66866525","66866525-2012-06-08",80,90,2012-06-08,"HA1",2012,"M","Adult",9200,"1",0,0,NA,0,0,NA,0,1,0,0,1,0,1,1,0.5,1,1,0.5,1,1,0.5,1,1,0.5,1,2,0.333333333333333,1,2,0.333333333333333,2,2,0.5,4,2,0.666666666666667,7,6,0.538461538461538,9,7,0.5625,9,8,0.529411764705882,9,8,0.529411764705882,11,9,0.55
"5322","66879360","66879360-2012-09-25",30,100,2012-09-25,"HA1",2012,"F","NotAdult",4,"0",1,6,0.142857142857143,3,14,0.176470588235294,3,15,0.166666666666667,6,18,0.25,8,24,0.25,11,30,0.268292682926829,14,41,0.254545454545455,17,48,0.261538461538462,20,57,0.25974025974026,21,61,0.25609756097561,33,84,0.282051282051282,38,112,0.253333333333333,43,141,0.233695652173913,48,170,0.220183486238532,54,194,0.217741935483871,60,222,0.212765957446809,65,246,0.209003215434084
"5963","67070550","67070550-2012-07-17",20,60,2012-07-17,"HA1",2012,"F","NotAdult",15,"0",1,2,0.333333333333333,3,4,0.428571428571429,7,5,0.583333333333333,9,6,0.6,11,8,0.578947368421053,11,11,0.5,12,11,0.521739130434783,14,13,0.518518518518518,16,14,0.533333333333333,17,18,0.485714285714286,24,24,0.5,25,32,0.43859649122807,30,44,0.405405405405405,30,50,0.375,33,56,0.370786516853933,34,56,0.377777777777778,34,56,0.377777777777778
"6252","67088839","67088839-2012-10-23",20,60,2012-10-23,"HA1",2012,"M","Adult",2230.76923076923,"0",1,5,0.166666666666667,4,22,0.153846153846154,12,32,0.272727272727273,16,43,0.271186440677966,21,69,0.233333333333333,22,84,0.207547169811321,24,88,0.214285714285714,27,108,0.2,31,130,0.192546583850932,32,144,0.181818181818182,52,216,0.194029850746269,59,270,0.179331306990881,69,321,0.176923076923077,80,364,0.18018018018018,85,415,0.17,89,424,0.173489278752437,89,424,0.173489278752437
"6257","67089554","67089554-2012-09-25",40,90,2012-09-25,"HA1",2012,"F","Adult",91.1111111111111,"0",0,1,0,1,8,0.111111111111111,6,16,0.272727272727273,8,16,0.333333333333333,11,28,0.282051282051282,12,31,0.27906976744186,16,39,0.290909090909091,20,50,0.285714285714286,24,63,0.275862068965517,25,74,0.252525252525253,38,112,0.253333333333333,43,143,0.231182795698925,48,169,0.221198156682028,54,191,0.220408163265306,61,220,0.217081850533808,67,253,0.209375,68,253,0.21183800623053
"6421","67125021","67125021-2012-08-28",50,40,2012-08-28,"HA1",2012,"M","Adult",33.3333333333333,"0",0,3,0,0,4,0,0,9,0,1,11,0.0833333333333333,6,21,0.222222222222222,6,25,0.193548387096774,7,26,0.212121212121212,9,30,0.230769230769231,13,41,0.240740740740741,15,42,0.263157894736842,26,86,0.232142857142857,41,114,0.264516129032258,50,138,0.265957446808511,52,144,0.26530612244898,52,144,0.26530612244898,52,144,0.26530612244898,52,144,0.26530612244898
"6427","67125021","67125021-2012-10-09",10,30,2012-10-09,"HA1",2012,"M","Adult",56160,"0",0,6,0,4,17,0.19047619047619,6,35,0.146341463414634,7,46,0.132075471698113,11,69,0.1375,14,74,0.159090909090909,18,82,0.18,22,102,0.17741935483871,22,115,0.160583941605839,27,121,0.182432432432432,37,149,0.198924731182796,43,172,0.2,52,199,0.207171314741036,63,246,0.203883495145631,73,286,0.203342618384401,82,324,0.201970443349754,83,337,0.197619047619048
"6450","67126571","67126571-2012-06-19",60,60,2012-06-19,"HA1",2012,"F","NotAdult",7216.66666666667,"0",0,1,0,1,1,0.5,1,1,0.5,1,1,0.5,1,1,0.5,1,3,0.25,1,3,0.25,3,3,0.5,5,4,0.555555555555556,5,5,0.5,10,9,0.526315789473684,15,10,0.6,16,10,0.615384615384615,18,12,0.6,18,13,0.580645161290323,18,13,0.580645161290323,18,13,0.580645161290323
"6463","67259597","67259597-2012-08-14",100,10,2012-08-14,"HA1",2012,"F","Adult",151.351351351351,"0",1,2,0.333333333333333,3,4,0.428571428571429,3,4,0.428571428571429,4,9,0.307692307692308,4,11,0.266666666666667,5,12,0.294117647058824,6,12,0.333333333333333,6,14,0.3,6,15,0.285714285714286,6,15,0.285714285714286,7,22,0.241379310344828,7,27,0.205882352941176,9,42,0.176470588235294,12,50,0.193548387096774,20,65,0.235294117647059,30,87,0.256410256410256,37,99,0.272058823529412
"6680","79612792","79612792-2012-12-05",10,90,2012-12-05,"HA1",2012,"M","Adult",4447.05882352941,"1",4,9,0.307692307692308,8,34,0.19047619047619,11,55,0.166666666666667,17,69,0.197674418604651,24,96,0.2,26,98,0.209677419354839,29,106,0.214814814814815,35,130,0.212121212121212,35,137,0.203488372093023,35,145,0.194444444444444,53,183,0.224576271186441,58,249,0.188925081433225,74,304,0.195767195767196,94,381,0.197894736842105,115,471,0.196245733788396,134,552,0.19533527696793,138,582,0.191666666666667
