"","ID","ID.CapDate","lat","long","Capture.date","Grid","year","Sex","Age","EhungInt","MHV","NoInf_0","NoUninf_0","Prev_0","NoInf_10","NoUninf_10","Prev_10","NoInf_14.1","NoUninf_14.1","Prev_14.1","NoInf_20","NoUninf_20","Prev_20","NoInf_22.4","NoUninf_22.4","Prev_22.4","NoInf_28.3","NoUninf_28.3","Prev_28.3","NoInf_30","NoUninf_30","Prev_30","NoInf_31.6","NoUninf_31.6","Prev_31.6","NoInf_36.1","NoUninf_36.1","Prev_36.1","NoInf_40","NoUninf_40","Prev_40","NoInf_50","NoUninf_50","Prev_50","NoInf_60","NoUninf_60","Prev_60","NoInf_70","NoUninf_70","Prev_70","NoInf_80","NoUninf_80","Prev_80","NoInf_90","NoUninf_90","Prev_90","NoInf_100","NoUninf_100","Prev_100","NoInf_110","NoUninf_110","Prev_110"
"4085","52842550","52842550-2012-06-19",50,80,2012-06-19,"HA1",2012,"F","Adult",142.857142857143,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,0,1,3,0,1,3,0,1,3,0,1,3,2,0.6,3,3,0.5,4,7,0.363636363636364,4,8,0.333333333333333,4,8,0.333333333333333,4,9,0.307692307692308,4,13,0.235294117647059,4,13,0.235294117647059,4,13,0.235294117647059
"4086","67126571","67126571-2012-06-19",60,60,2012-06-19,"HA1",2012,"F","NotAdult",7216.66666666667,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0.5,1,1,0.5,1,2,0.333333333333333,1,4,0.2,1,5,0.166666666666667,4,6,0.4,4,9,0.307692307692308,4,9,0.307692307692308,4,13,0.235294117647059,4,13,0.235294117647059,4,13,0.235294117647059,4,13,0.235294117647059
"4164","66859820","66859820-2012-07-04",0,100,2012-07-04,"HA1",2012,"M","Adult",4.44444444444444,0,0,0,NA,0,1,0,0,2,0,0,2,0,0,3,0,0,3,0,1,3,0.25,1,4,0.2,1,5,0.166666666666667,1,5,0.166666666666667,1,7,0.125,1,10,0.0909090909090909,2,13,0.133333333333333,5,18,0.217391304347826,7,22,0.241379310344828,11,26,0.297297297297297,12,28,0.3
"4245","66810776","66810776-2012-07-17",70,0,2012-07-17,"HA1",2012,"M","Adult",606.25,1,0,1,0,0,1,0,0,1,0,0,1,0,0,3,0,0,3,0,1,3,0.25,2,4,0.333333333333333,2,5,0.285714285714286,2,5,0.285714285714286,3,7,0.3,4,9,0.307692307692308,9,17,0.346153846153846,10,22,0.3125,11,27,0.289473684210526,12,29,0.292682926829268,13,32,0.288888888888889
"4376","79639579","79639579-2012-08-14",80,100,2012-08-14,"HA1",2012,"F","Adult",121.212121212121,0,1,2,0.333333333333333,3,3,0.5,3,4,0.428571428571429,4,6,0.4,6,6,0.5,7,8,0.466666666666667,7,8,0.466666666666667,8,10,0.444444444444444,8,12,0.4,8,12,0.4,12,13,0.48,13,16,0.448275862068966,13,19,0.40625,16,30,0.347826086956522,17,34,0.333333333333333,20,38,0.344827586206897,21,42,0.333333333333333
"4397","79779379","79779379-2012-08-28",100,20,2012-08-28,"HA1",2012,"M","Adult",3.44827586206897,0,0,1,0,1,2,0.333333333333333,1,3,0.25,1,4,0.2,2,6,0.25,2,7,0.222222222222222,2,7,0.222222222222222,3,8,0.272727272727273,4,12,0.25,4,13,0.235294117647059,7,17,0.291666666666667,13,24,0.351351351351351,13,27,0.325,15,34,0.306122448979592,21,46,0.313432835820896,25,57,0.304878048780488,28,62,0.311111111111111
"4471","79797266","79797266-2012-09-11",20,30,2012-09-11,"HA1",2012,"F","NotAdult",7880,0,0,0,NA,2,1,0.666666666666667,2,7,0.222222222222222,2,8,0.2,5,22,0.185185185185185,5,23,0.178571428571429,5,26,0.161290322580645,6,31,0.162162162162162,8,31,0.205128205128205,10,32,0.238095238095238,14,36,0.28,17,42,0.288135593220339,17,56,0.232876712328767,22,64,0.255813953488372,28,73,0.277227722772277,30,80,0.272727272727273,30,80,0.272727272727273
"4476","79796354","79796354-2012-09-11",80,20,2012-09-11,"HA1",2012,"M","Adult",51.2820512820513,0,0,1,0,1,3,0.25,2,4,0.333333333333333,2,8,0.2,6,12,0.333333333333333,6,13,0.315789473684211,6,16,0.272727272727273,7,17,0.291666666666667,7,19,0.269230769230769,8,20,0.285714285714286,12,22,0.352941176470588,15,30,0.333333333333333,17,43,0.283333333333333,23,63,0.267441860465116,28,70,0.285714285714286,30,76,0.283018867924528,30,79,0.275229357798165
"4477","79769830","79769830-2012-09-11",90,40,2012-09-11,"HA1",2012,"F","Adult",484.615384615385,1,0,0,NA,0,1,0,1,5,0.166666666666667,1,5,0.166666666666667,3,8,0.272727272727273,3,8,0.272727272727273,4,9,0.307692307692308,7,13,0.35,10,15,0.4,11,17,0.392857142857143,13,29,0.30952380952381,16,35,0.313725490196078,22,46,0.323529411764706,24,53,0.311688311688312,29,68,0.298969072164948,30,77,0.280373831775701,30,80,0.272727272727273
"4493","79795857","79795857-2012-09-13",30,100,2012-09-13,"HA1",2012,"M","Adult",73.6842105263158,0,2,1,0.666666666666667,2,5,0.285714285714286,2,6,0.25,3,7,0.3,3,10,0.230769230769231,3,14,0.176470588235294,4,19,0.173913043478261,6,23,0.206896551724138,6,25,0.193548387096774,8,26,0.235294117647059,13,36,0.26530612244898,13,45,0.224137931034483,16,57,0.219178082191781,22,68,0.244444444444444,27,78,0.257142857142857,29,87,0.25,33,100,0.24812030075188
