"","ID","ID.CapDate","lat","long","Capture.date","Grid","year","Sex","Age","EhungInt","Tryps","NoInf_0","NoUninf_0","Prev_0","NoInf_10","NoUninf_10","Prev_10","NoInf_14.1","NoUninf_14.1","Prev_14.1","NoInf_20","NoUninf_20","Prev_20","NoInf_22.4","NoUninf_22.4","Prev_22.4","NoInf_28.3","NoUninf_28.3","Prev_28.3","NoInf_30","NoUninf_30","Prev_30","NoInf_31.6","NoUninf_31.6","Prev_31.6","NoInf_36.1","NoUninf_36.1","Prev_36.1","NoInf_40","NoUninf_40","Prev_40","NoInf_50","NoUninf_50","Prev_50","NoInf_60","NoUninf_60","Prev_60","NoInf_70","NoUninf_70","Prev_70","NoInf_80","NoUninf_80","Prev_80","NoInf_90","NoUninf_90","Prev_90","NoInf_100","NoUninf_100","Prev_100","NoInf_110","NoUninf_110","Prev_110"
"4452","52842550","52842550-2012-06-19",50,80,2012-06-19,"HA1",2012,"F","Adult",142.857142857143,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,1,0,0,3,0,0,3,0,0,3,0,0,5,0,0,6,0,0,11,0,0,12,0,0,12,0,0,13,0,0,17,0,0,17,0,0,17,0
"4506","66808052","66808052-2012-11-20",40,20,2012-11-20,"HA1",2012,"M","Adult",231.578947368421,0,0,2,0,0,5,0,2,7,0.222222222222222,2,18,0.1,4,32,0.111111111111111,5,40,0.111111111111111,7,45,0.134615384615385,8,62,0.114285714285714,10,80,0.111111111111111,12,85,0.123711340206186,15,117,0.113636363636364,16,146,0.0987654320987654,18,182,0.09,29,218,0.117408906882591,36,265,0.119601328903654,37,276,0.118210862619808,37,276,0.118210862619808
"4544","66810776","66810776-2012-07-17",70,0,2012-07-17,"HA1",2012,"M","Adult",606.25,0,0,1,0,0,1,0,0,1,0,0,1,0,0,3,0,0,3,0,0,4,0,1,5,0.166666666666667,1,6,0.142857142857143,1,6,0.142857142857143,1,9,0.1,1,12,0.0769230769230769,2,24,0.0769230769230769,2,30,0.0625,2,36,0.0526315789473684,2,40,0.0476190476190476,2,45,0.0425531914893617
"4611","66818332","66818332-2012-09-11",10,80,2012-09-11,"HA1",2012,"F","Adult",673.469387755102,0,0,2,0,0,7,0,1,10,0.0909090909090909,1,12,0.0769230769230769,1,20,0.0476190476190476,1,23,0.0416666666666667,1,23,0.0416666666666667,1,25,0.0384615384615385,1,29,0.0333333333333333,1,34,0.0285714285714286,1,47,0.0208333333333333,2,58,0.0333333333333333,3,79,0.0365853658536585,8,96,0.0769230769230769,9,113,0.0737704918032787,9,121,0.0692307692307692,9,126,0.0666666666666667
"4684","66828572","66828572-2012-10-23",50,0,2012-10-23,"HA1",2012,"M","Adult",13.7931034482759,0,0,3,0,0,5,0,0,6,0,0,13,0,1,19,0.05,1,21,0.0454545454545455,1,23,0.0416666666666667,3,26,0.103448275862069,5,32,0.135135135135135,5,39,0.113636363636364,10,69,0.126582278481013,11,101,0.0982142857142857,12,118,0.0923076923076923,14,131,0.096551724137931,18,160,0.101123595505618,22,184,0.106796116504854,28,222,0.112
"4753","66843623","66843623-2012-09-28",100,90,2012-09-28,"HA1",2012,"M","Adult",246.153846153846,0,0,2,0,0,9,0,1,12,0.0769230769230769,2,15,0.117647058823529,5,23,0.178571428571429,5,23,0.178571428571429,6,24,0.2,6,28,0.176470588235294,6,31,0.162162162162162,6,34,0.15,6,50,0.107142857142857,6,63,0.0869565217391304,7,77,0.0833333333333333,9,94,0.087378640776699,9,116,0.072,11,143,0.0714285714285714,13,161,0.0747126436781609
"5006","66859820","66859820-2012-07-04",0,100,2012-07-04,"HA1",2012,"M","Adult",4.44444444444444,0,0,0,NA,0,1,0,0,2,0,0,2,0,0,3,0,0,3,0,0,4,0,0,5,0,0,6,0,0,6,0,0,8,0,0,11,0,0,15,0,0,23,0,1,28,0.0344827586206897,2,35,0.0540540540540541,2,39,0.0487804878048781
"6252","67088839","67088839-2012-10-23",20,60,2012-10-23,"HA1",2012,"M","Adult",2230.76923076923,0,1,3,0.25,1,8,0.111111111111111,1,15,0.0625,1,23,0.0416666666666667,2,37,0.0512820512820513,2,44,0.0434782608695652,2,46,0.0416666666666667,3,55,0.0517241379310345,6,66,0.0833333333333333,6,75,0.0740740740740741,12,111,0.0975609756097561,16,139,0.103225806451613,19,165,0.103260869565217,24,190,0.11214953271028,28,218,0.113821138211382,28,225,0.110671936758893,28,225,0.110671936758893
"6450","67126571","67126571-2012-06-19",60,60,2012-06-19,"HA1",2012,"F","NotAdult",7216.66666666667,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,2,0,0,2,0,0,3,0,0,5,0,0,6,0,0,10,0,0,13,0,0,13,0,0,17,0,0,17,0,0,17,0,0,17,0
"6718","79615341","79615341-2012-12-18",20,10,2012-12-18,"HA1",2012,"M","Adult",35.2941176470588,0,1,2,0.333333333333333,2,16,0.111111111111111,4,27,0.129032258064516,4,32,0.111111111111111,7,45,0.134615384615385,7,47,0.12962962962963,7,51,0.120689655172414,8,62,0.114285714285714,8,67,0.106666666666667,8,70,0.102564102564103,11,94,0.104761904761905,13,114,0.102362204724409,16,140,0.102564102564103,18,179,0.0913705583756345,24,219,0.0987654320987654,36,272,0.116883116883117,40,292,0.120481927710843
