"","ID","ID.CapDate","lat","long","Capture.date","Grid","year","Sex","Age","H.poly.EPG","EappINF","NoInf_0","NoUninf_0","Prev_0","NoInf_10","NoUninf_10","Prev_10","NoInf_14.1","NoUninf_14.1","Prev_14.1","NoInf_20","NoUninf_20","Prev_20","NoInf_22.4","NoUninf_22.4","Prev_22.4","NoInf_28.3","NoUninf_28.3","Prev_28.3","NoInf_30","NoUninf_30","Prev_30","NoInf_31.6","NoUninf_31.6","Prev_31.6","NoInf_36.1","NoUninf_36.1","Prev_36.1","NoInf_40","NoUninf_40","Prev_40","NoInf_50","NoUninf_50","Prev_50","NoInf_60","NoUninf_60","Prev_60","NoInf_70","NoUninf_70","Prev_70","NoInf_80","NoUninf_80","Prev_80","NoInf_90","NoUninf_90","Prev_90","NoInf_100","NoUninf_100","Prev_100","NoInf_110","NoUninf_110","Prev_110"
"4380","49811771","49811771-2012-06-06",10,10,2012-06-06,"HA1",2012,"F","Adult","33.3333333333333",0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"4381","49811771","49811771-2012-06-19",10,20,2012-06-19,"HA1",2012,"F","Adult","7.14285714285714",0,0,0,NA,0,3,0,0,3,0,0,4,0,0,6,0,0,7,0,0,8,0,0,8,0,0,10,0,0,11,0,0,13,0,0,16,0,0,19,0,1,19,0.05,2,21,0.0869565217391304,3,27,0.1,3,28,0.0967741935483871
"4382","49811771","49811771-2012-07-03",20,20,2012-07-03,"HA1",2012,"F","Adult","0",0,0,0,NA,0,2,0,0,5,0,1,9,0.1,1,14,0.0666666666666667,1,19,0.05,1,19,0.05,1,21,0.0454545454545455,1,22,0.0434782608695652,2,24,0.0769230769230769,2,27,0.0689655172413793,2,33,0.0571428571428571,3,36,0.0769230769230769,4,39,0.0930232558139535,5,50,0.0909090909090909,5,56,0.0819672131147541,5,57,0.0806451612903226
"4383","49811771","49811771-2012-07-17",40,20,2012-07-17,"HA1",2012,"F","Adult","0",0,0,2,0,0,2,0,0,2,0,1,4,0.2,1,10,0.0909090909090909,2,11,0.153846153846154,2,14,0.125,2,21,0.0869565217391304,2,24,0.0769230769230769,2,26,0.0714285714285714,3,48,0.0588235294117647,4,56,0.0666666666666667,5,65,0.0714285714285714,5,72,0.0649350649350649,5,83,0.0568181818181818,6,84,0.0666666666666667,6,84,0.0666666666666667
"4384","49811771","49811771-2012-08-14",30,50,2012-08-14,"HA1",2012,"F","Adult","9.09090909090909",0,0,2,0,0,7,0,1,13,0.0714285714285714,1,16,0.0588235294117647,2,22,0.0833333333333333,3,27,0.1,4,29,0.121212121212121,4,41,0.0888888888888889,5,49,0.0925925925925926,5,53,0.0862068965517241,7,83,0.0777777777777778,11,105,0.0948275862068965,13,115,0.1015625,15,132,0.102040816326531,16,135,0.105960264900662,16,135,0.105960264900662,16,135,0.105960264900662
"4385","49811771","49811771-2012-07-31",10,30,2012-07-31,"HA1",2012,"F","Adult","0",0,0,1,0,0,6,0,1,14,0.0666666666666667,1,20,0.0476190476190476,1,24,0.04,1,26,0.037037037037037,1,28,0.0344827586206897,1,42,0.0232558139534884,1,46,0.0212765957446809,1,47,0.0208333333333333,2,55,0.0350877192982456,3,62,0.0461538461538462,4,70,0.0540540540540541,4,78,0.0487804878048781,7,90,0.0721649484536082,8,99,0.0747663551401869,9,101,0.0818181818181818
"4386","49811771","49811771-2012-08-28",40,0,2012-08-28,"HA1",2012,"F","Adult","1.31578947368421",0,0,0,NA,0,3,0,0,5,0,0,11,0,0,15,0,1,18,0.0526315789473684,2,23,0.08,2,31,0.0606060606060606,2,35,0.0540540540540541,2,44,0.0434782608695652,6,70,0.0789473684210526,8,83,0.0879120879120879,13,110,0.105691056910569,15,122,0.109489051094891,17,132,0.114093959731544,23,148,0.134502923976608,28,166,0.144329896907216
"4387","49811771","49811771-2012-09-11",20,50,2012-09-11,"HA1",2012,"F","Adult","0",0,0,2,0,1,13,0.0714285714285714,3,21,0.125,4,28,0.125,8,45,0.150943396226415,8,50,0.137931034482759,9,55,0.140625,11,67,0.141025641025641,11,77,0.125,13,80,0.139784946236559,20,115,0.148148148148148,26,149,0.148571428571429,32,163,0.164102564102564,38,190,0.166666666666667,47,211,0.182170542635659,47,211,0.182170542635659,47,211,0.182170542635659
"4388","49811771","49811771-2012-09-25",10,30,2012-09-25,"HA1",2012,"F","Adult","0",0,1,4,0.2,2,15,0.117647058823529,3,29,0.09375,4,39,0.0930232558139535,5,61,0.0757575757575758,6,67,0.0821917808219178,8,75,0.0963855421686747,8,97,0.0761904761904762,9,104,0.079646017699115,12,111,0.0975609756097561,19,134,0.124183006535948,22,148,0.129411764705882,28,168,0.142857142857143,37,202,0.154811715481172,49,227,0.177536231884058,55,255,0.17741935483871,60,261,0.186915887850467
"4393","49811771","49811771-2012-08-30",30,20,2012-08-30,"HA1",2012,"F","Adult","0",0,0,1,0,1,11,0.0833333333333333,2,15,0.117647058823529,2,21,0.0869565217391304,4,36,0.1,6,45,0.117647058823529,7,53,0.116666666666667,8,64,0.111111111111111,9,74,0.108433734939759,9,75,0.107142857142857,11,99,0.1,16,115,0.122137404580153,20,131,0.132450331125828,28,158,0.150537634408602,34,179,0.15962441314554,40,189,0.174672489082969,40,189,0.174672489082969
