"","ID","ID.CapDate","lat","long","Capture.date","Grid","year","Sex","Age","MHV","BartAny","NoInf_0","NoUninf_0","Prev_0","NoInf_10","NoUninf_10","Prev_10","NoInf_14.1","NoUninf_14.1","Prev_14.1","NoInf_20","NoUninf_20","Prev_20","NoInf_22.4","NoUninf_22.4","Prev_22.4","NoInf_28.3","NoUninf_28.3","Prev_28.3","NoInf_30","NoUninf_30","Prev_30","NoInf_31.6","NoUninf_31.6","Prev_31.6","NoInf_36.1","NoUninf_36.1","Prev_36.1","NoInf_40","NoUninf_40","Prev_40","NoInf_50","NoUninf_50","Prev_50","NoInf_60","NoUninf_60","Prev_60","NoInf_70","NoUninf_70","Prev_70","NoInf_80","NoUninf_80","Prev_80","NoInf_90","NoUninf_90","Prev_90","NoInf_100","NoUninf_100","Prev_100","NoInf_110","NoUninf_110","Prev_110"
"4014","66883112","66883112-2012-06-06",70,100,2012-06-06,"HA1",2012,"F","Adult",1,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"4016","49829569","49829569-2012-06-06",30,40,2012-06-06,"HA1",2012,"F","Adult",0,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"4020","66865371","66865371-2012-06-07",10,80,2012-06-07,"HA1",2012,"M","Adult",0,1,0,0,NA,1,0,1,1,0,1,1,0,1,2,0,1,2,1,0.666666666666667,2,1,0.666666666666667,2,1,0.666666666666667,2,1,0.666666666666667,2,1,0.666666666666667,3,1,0.75,3,1,0.75,3,5,0.375,3,5,0.375,3,6,0.333333333333333,3,6,0.333333333333333,3,6,0.333333333333333
"4024","66863517","66863517-2012-06-07",40,40,2012-06-07,"HA1",2012,"F","NotAdult",0,0,0,0,NA,1,0,1,1,0,1,1,0,1,1,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,4,0.333333333333333,3,4,0.428571428571429,3,6,0.333333333333333,3,6,0.333333333333333,3,6,0.333333333333333,3,6,0.333333333333333,3,6,0.333333333333333
"4028","66855330","66855330-2012-06-08",10,0,2012-06-08,"HA1",2012,"M","Adult",0,1,0,0,NA,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,1,4,0.2,1,5,0.166666666666667,2,5,0.285714285714286,3,7,0.3,4,7,0.363636363636364,4,7,0.363636363636364,4,8,0.333333333333333
"4044","49847790","49847790-2012-06-06",10,90,2012-06-06,"HA1",2012,"F","Adult",0,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"4046","49811771","49811771-2012-06-06",10,10,2012-06-06,"HA1",2012,"F","Adult",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"4048","52842550","52842550-2012-06-06",30,100,2012-06-06,"HA1",2012,"F","Adult",1,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"4056","66861012","66861012-2012-06-07",100,80,2012-06-07,"HA1",2012,"F","Adult",1,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,1,0,0,1,0,0,1,0,0,2,0,0,2,0,0,3,0,2,3,0.4,3,3,0.5,3,3,0.5
"4081","49811771","49811771-2012-06-19",10,20,2012-06-19,"HA1",2012,"F","Adult",0,0,0,0,NA,0,3,0,0,3,0,1,3,0.25,1,4,0.2,2,4,0.333333333333333,2,4,0.333333333333333,2,4,0.333333333333333,2,6,0.25,2,6,0.25,3,6,0.333333333333333,4,6,0.4,5,7,0.416666666666667,5,8,0.384615384615385,6,9,0.4,6,10,0.375,7,10,0.411764705882353
