"","ID","ID.CapDate","lat","long","Capture.date","Grid","year","Sex","Age","Tryps","HpolINF","NoInf_0","NoUninf_0","Prev_0","NoInf_10","NoUninf_10","Prev_10","NoInf_14.1","NoUninf_14.1","Prev_14.1","NoInf_20","NoUninf_20","Prev_20","NoInf_22.4","NoUninf_22.4","Prev_22.4","NoInf_28.3","NoUninf_28.3","Prev_28.3","NoInf_30","NoUninf_30","Prev_30","NoInf_31.6","NoUninf_31.6","Prev_31.6","NoInf_36.1","NoUninf_36.1","Prev_36.1","NoInf_40","NoUninf_40","Prev_40","NoInf_50","NoUninf_50","Prev_50","NoInf_60","NoUninf_60","Prev_60","NoInf_70","NoUninf_70","Prev_70","NoInf_80","NoUninf_80","Prev_80","NoInf_90","NoUninf_90","Prev_90","NoInf_100","NoUninf_100","Prev_100","NoInf_110","NoUninf_110","Prev_110"
"4380","49811771","49811771-2012-06-06",10,10,2012-06-06,"HA1",2012,"F","Adult",0,"1",0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"4381","49811771","49811771-2012-06-19",10,20,2012-06-19,"HA1",2012,"F","Adult",0,"1",0,0,NA,2,1,0.666666666666667,2,1,0.666666666666667,2,2,0.5,3,3,0.5,3,4,0.428571428571429,3,5,0.375,3,5,0.375,4,6,0.4,5,6,0.454545454545455,6,7,0.461538461538462,9,7,0.5625,11,8,0.578947368421053,12,8,0.6,14,9,0.608695652173913,17,13,0.566666666666667,18,13,0.580645161290323
"4382","49811771","49811771-2012-07-03",20,20,2012-07-03,"HA1",2012,"F","Adult",0,"0",0,0,NA,2,0,1,3,2,0.6,6,4,0.6,7,8,0.466666666666667,8,12,0.4,8,12,0.4,9,13,0.409090909090909,9,14,0.391304347826087,10,16,0.384615384615385,13,16,0.448275862068966,16,19,0.457142857142857,19,20,0.487179487179487,22,21,0.511627906976744,27,28,0.490909090909091,30,31,0.491803278688525,30,32,0.483870967741935
"4383","49811771","49811771-2012-07-17",40,20,2012-07-17,"HA1",2012,"F","Adult",0,"0",1,1,0.5,1,1,0.5,1,1,0.5,1,4,0.2,2,9,0.181818181818182,3,10,0.230769230769231,4,12,0.25,6,17,0.260869565217391,7,19,0.269230769230769,8,20,0.285714285714286,14,37,0.274509803921569,20,40,0.333333333333333,24,46,0.342857142857143,27,50,0.350649350649351,34,54,0.386363636363636,34,56,0.377777777777778,34,56,0.377777777777778
"4384","49811771","49811771-2012-08-14",30,50,2012-08-14,"HA1",2012,"F","Adult",0,"1",1,1,0.5,1,6,0.142857142857143,3,11,0.214285714285714,5,12,0.294117647058824,9,15,0.375,10,20,0.333333333333333,12,21,0.363636363636364,14,31,0.311111111111111,18,36,0.333333333333333,19,39,0.327586206896552,27,63,0.3,36,80,0.310344827586207,38,90,0.296875,44,103,0.299319727891156,45,106,0.298013245033113,45,106,0.298013245033113,45,106,0.298013245033113
"4385","49811771","49811771-2012-07-31",10,30,2012-07-31,"HA1",2012,"F","Adult",0,"0",0,1,0,3,3,0.5,5,10,0.333333333333333,6,15,0.285714285714286,8,17,0.32,9,18,0.333333333333333,10,19,0.344827586206897,14,29,0.325581395348837,14,33,0.297872340425532,15,33,0.3125,20,37,0.350877192982456,22,43,0.338461538461538,25,49,0.337837837837838,29,53,0.353658536585366,32,65,0.329896907216495,36,71,0.336448598130841,37,73,0.336363636363636
"4386","49811771","49811771-2012-08-28",40,0,2012-08-28,"HA1",2012,"F","Adult",0,"1",0,0,NA,0,3,0,0,5,0,1,10,0.0909090909090909,2,13,0.133333333333333,2,17,0.105263157894737,3,22,0.12,5,28,0.151515151515152,6,31,0.162162162162162,7,39,0.152173913043478,13,63,0.171052631578947,18,73,0.197802197802198,27,96,0.219512195121951,34,103,0.248175182481752,37,112,0.248322147651007,44,127,0.257309941520468,52,142,0.268041237113402
"4387","49811771","49811771-2012-09-11",20,50,2012-09-11,"HA1",2012,"F","Adult",0,"0",0,2,0,5,9,0.357142857142857,8,16,0.333333333333333,11,21,0.34375,18,35,0.339622641509434,19,39,0.327586206896552,19,45,0.296875,22,56,0.282051282051282,25,63,0.284090909090909,26,67,0.279569892473118,32,103,0.237037037037037,44,131,0.251428571428571,50,145,0.256410256410256,55,173,0.241228070175439,61,197,0.236434108527132,61,197,0.236434108527132,61,197,0.236434108527132
"4398","49829569","49829569-2012-06-06",30,40,2012-06-06,"HA1",2012,"F","Adult",0,"0",0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"4400","49847790","49847790-2012-06-06",10,90,2012-06-06,"HA1",2012,"F","Adult",0,"1",0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA
